ts,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
20093,0.036,0.052,1.006,0.427,-0.061,-0.061
20111,0.038,0.052,1.007,0.488,0.000,-0.122
20126,0.039,0.053,1.007,0.427,0.061,-0.122
20144,0.038,0.053,1.005,0.427,0.061,-0.061
20162,0.039,0.052,1.007,0.366,0.000,0.000
20178,0.039,0.053,1.009,0.366,0.000,-0.061
20194,0.038,0.053,1.007,0.488,0.000,-0.061
20214,0.037,0.053,1.006,0.488,0.000,0.000
20234,0.036,0.052,1.008,0.488,0.000,0.000
20251,0.035,0.053,1.006,0.488,0.000,-0.061
20287,0.038,0.053,1.007,0.366,-0.061,-0.061
20303,0.037,0.052,1.007,0.488,0.000,-0.061
20319,0.037,0.052,1.006,0.427,0.061,-0.122
20336,0.038,0.052,1.006,0.427,0.061,-0.122
20356,0.039,0.053,1.007,0.427,0.061,-0.183
20374,0.039,0.052,1.007,0.549,0.000,-0.122
20398,0.038,0.053,1.005,0.366,0.061,-0.122
20414,0.037,0.053,1.007,0.366,0.061,-0.122
20432,0.037,0.052,1.008,0.488,0.000,-0.061
20492,0.037,0.052,1.007,0.366,0.000,-0.061
20523,0.039,0.053,1.007,0.488,0.061,-0.061
20543,0.039,0.054,1.006,0.427,0.000,0.000
20580,0.038,0.052,1.008,0.488,0.000,-0.061
20596,0.037,0.053,1.006,0.549,0.061,-0.061
20617,0.037,0.052,1.005,0.427,0.000,-0.122
20638,0.036,0.051,1.007,0.427,0.000,-0.122
20658,0.038,0.052,1.008,0.427,0.000,-0.061
20679,0.039,0.055,1.006,0.427,0.061,-0.061
20696,0.038,0.056,1.007,0.488,0.061,-0.061
20717,0.037,0.053,1.008,0.549,0.000,-0.061
20738,0.039,0.052,1.007,0.488,0.000,-0.061
20760,0.038,0.052,1.006,0.488,0.000,-0.122
20779,0.039,0.052,1.007,0.427,0.000,-0.061
20800,0.037,0.053,1.007,0.427,0.000,-0.122
20834,0.038,0.054,1.006,0.488,0.061,-0.061
20856,0.038,0.054,1.006,0.427,0.061,-0.122
20875,0.038,0.052,1.007,0.488,0.000,-0.122
20891,0.038,0.052,1.007,0.488,0.000,-0.061
20911,0.037,0.052,1.007,0.427,0.061,-0.122
20926,0.038,0.053,1.007,0.427,0.122,-0.122
20950,0.039,0.053,1.007,0.427,0.061,-0.061
20966,0.039,0.053,1.007,0.427,0.000,-0.122
20986,0.038,0.053,1.007,0.427,0.061,-0.061
21006,0.036,0.053,1.007,0.427,0.061,-0.061
21021,0.036,0.053,1.006,0.427,0.061,-0.061
21043,0.037,0.051,1.007,0.427,0.061,-0.122
21080,0.038,0.054,1.007,0.427,0.061,-0.122
21108,0.038,0.053,1.007,0.488,0.000,-0.061
21128,0.038,0.053,1.006,0.488,0.000,-0.061
