ts,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
39227,0.039,0.057,1.008,0.061,0.000,-0.061
39255,0.038,0.056,1.007,0.366,0.000,-0.061
39280,0.037,0.051,1.005,0.610,0.061,-0.061
39306,0.037,0.051,1.006,0.305,0.061,-0.122
39334,0.037,0.053,1.006,0.244,0.061,-0.061
39384,0.039,0.055,1.008,0.366,0.122,-0.061
39411,0.038,0.054,1.007,0.427,0.000,-0.122
39438,0.036,0.053,1.005,0.488,0.061,0.000
39463,0.038,0.052,1.006,0.488,0.061,-0.122
39493,0.038,0.053,1.008,0.427,0.061,-0.061
39521,0.039,0.053,1.007,0.488,0.061,-0.061
39548,0.039,0.054,1.007,0.427,0.000,-0.061
39576,0.037,0.052,1.006,0.305,0.061,-0.061
39603,0.037,0.053,1.006,0.427,0.061,-0.061
39629,0.037,0.055,1.006,0.427,0.000,-0.122
39657,0.039,0.053,1.007,0.488,0.061,-0.061
39686,0.038,0.053,1.007,0.427,0.000,-0.122
39738,0.037,0.053,1.006,0.488,0.061,-0.122
39765,0.038,0.053,1.007,0.488,-0.061,0.000
39794,0.037,0.055,1.005,0.488,-0.061,-0.122
39822,0.038,0.053,1.006,0.427,0.000,-0.122
39847,0.038,0.052,1.008,0.427,0.000,-0.122
39877,0.038,0.052,1.006,0.427,0.122,-0.122
39904,0.038,0.054,1.005,0.427,-0.061,-0.122
39931,0.037,0.054,1.006,0.427,-0.061,-0.061
39958,0.038,0.053,1.006,0.488,0.061,-0.122
39986,0.038,0.054,1.004,0.427,0.061,-0.122
40013,0.038,0.052,1.007,0.366,0.000,-0.122
40040,0.038,0.052,1.006,0.488,0.000,-0.122
40091,0.038,0.053,1.007,0.366,0.061,0.000
40119,0.039,0.053,1.007,0.488,0.000,-0.183
40145,0.039,0.053,1.007,0.427,0.000,-0.122
40170,0.038,0.053,1.005,0.488,0.000,-0.061
40197,0.036,0.054,1.006,0.427,0.000,-0.061
40224,0.037,0.054,1.005,0.549,-0.061,-0.061
40250,0.038,0.054,1.007,0.366,-0.061,-0.061
40276,0.038,0.053,1.005,0.427,-0.061,-0.061
40305,0.038,0.053,1.006,0.427,0.061,-0.122
40330,0.038,0.053,1.006,0.488,0.000,0.000
40358,0.036,0.055,1.006,0.366,0.061,-0.122
40386,0.037,0.054,1.006,0.549,0.061,-0.061
40436,0.040,0.054,1.005,0.427,0.061,-0.061
40464,0.039,0.055,1.008,0.488,0.000,-0.061
40490,0.038,0.055,1.005,0.549,0.000,-0.122
40520,0.037,0.053,1.007,0.305,0.000,-0.061
40547,0.036,0.054,1.005,0.549,0.000,-0.122
40574,0.037,0.055,1.006,0.549,-0.061,-0.061
40677,0.038,0.053,1.005,0.427,-0.061,-0.061
40730,0.038,0.054,1.007,0.366,0.061,-0.122
40758,0.038,0.053,1.006,0.427,0.000,-0.122
40785,0.038,0.054,1.006,0.366,0.061,-0.061
40812,0.037,0.054,1.007,0.488,-0.061,-0.061
40840,0.039,0.054,1.006,0.488,-0.061,-0.122
40889,0.037,0.052,1.006,0.488,0.000,-0.061
40917,0.038,0.054,1.005,0.427,0.000,-0.061
40944,0.037,0.054,1.008,0.427,0.000,-0.061
40970,0.038,0.053,1.006,0.488,0.000,-0.061
40997,0.039,0.054,1.006,0.427,0.061,-0.122
41025,0.038,0.054,1.007,0.427,-0.061,-0.061
41054,0.037,0.055,1.006,0.488,0.000,-0.061
41081,0.037,0.053,1.006,0.366,0.061,-0.061
41111,0.038,0.053,1.007,0.488,0.000,0.000
41139,0.038,0.052,1.005,0.427,0.000,-0.122
41168,0.037,0.053,1.008,0.427,0.000,-0.122
41195,0.038,0.055,1.007,0.427,-0.061,-0.122
41250,0.037,0.054,1.006,0.549,0.061,-0.061
41276,0.038,0.052,1.006,0.427,0.061,-0.122
41303,0.037,0.053,1.007,0.488,0.000,-0.122
41329,0.038,0.056,1.006,-0.122,0.061,-0.061
41354,0.037,0.055,1.005,0.427,0.061,-0.061
41380,0.038,0.053,1.006,0.793,0.061,-0.122
41407,0.038,0.053,1.007,0.549,-0.061,-0.061
41434,0.039,0.054,1.005,0.427,0.061,-0.061
41462,0.037,0.053,1.006,0.549,0.000,-0.061
41488,0.037,0.053,1.006,0.366,0.000,-0.061
41515,0.037,0.054,1.007,0.305,0.061,-0.183
41566,0.039,0.056,1.006,0.549,0.000,-0.122
41593,0.038,0.053,1.008,0.549,0.000,0.000
41620,0.038,0.052,1.007,0.488,-0.061,-0.061
41647,0.038,0.053,1.006,0.427,0.061,-0.061
41673,0.037,0.053,1.007,0.427,0.061,-0.061
41701,0.037,0.054,1.007,0.427,0.061,-0.122
41729,0.039,0.054,1.005,0.488,0.000,-0.122
41759,0.037,0.053,1.007,0.427,0.061,-0.122
41785,0.038,0.053,1.006,0.366,0.061,-0.122
41811,0.038,0.054,1.006,0.366,0.000,-0.061
41839,0.038,0.054,1.006,0.366,0.122,-0.061
41866,0.038,0.054,1.006,0.488,0.061,-0.122
41918,0.036,0.053,1.006,0.427,0.061,-0.122
41946,0.038,0.053,1.007,0.488,0.000,-0.122
41973,0.038,0.053,1.005,0.488,0.061,-0.061
42002,0.038,0.054,1.007,0.427,0.000,-0.061
42029,0.038,0.053,1.006,0.488,0.000,-0.061
42057,0.038,0.054,1.007,0.488,0.122,-0.061
42085,0.038,0.054,1.006,0.427,0.000,0.000
42112,0.038,0.054,1.005,0.427,0.061,-0.183
42138,0.038,0.053,1.006,0.427,0.000,-0.122
42240,0.037,0.054,1.006,0.427,0.000,-0.122
42290,0.039,0.054,1.006,0.427,0.061,-0.061
42317,0.038,0.053,1.007,0.488,0.061,-0.061
42371,0.038,0.053,1.006,0.366,0.061,-0.183
42399,0.037,0.054,1.006,0.549,0.061,-0.061
42428,0.038,0.052,1.006,0.366,0.061,0.000
42456,0.038,0.053,1.007,0.366,0.000,-0.061
42484,0.038,0.054,1.007,0.427,-0.061,0.000
42511,0.036,0.054,1.006,0.427,0.061,-0.061
42537,0.038,0.054,1.007,0.549,0.061,-0.061
42564,0.037,0.054,1.006,0.366,0.061,-0.122
42592,0.038,0.053,1.006,0.366,0.000,-0.061
42616,0.038,0.053,1.006,0.427,0.061,-0.122
42644,0.037,0.054,1.006,0.488,0.000,-0.122
42671,0.038,0.055,1.005,0.488,0.000,0.000
42720,0.038,0.053,1.007,0.488,0.000,-0.061
42746,0.039,0.055,1.006,0.549,-0.061,-0.061
42776,0.039,0.055,1.007,0.610,0.061,-0.061
42802,0.039,0.052,1.005,0.549,0.061,-0.061
42831,0.038,0.054,1.007,0.366,0.000,-0.122
42858,0.036,0.053,1.006,0.366,-0.061,-0.122
42887,0.038,0.055,1.006,0.549,0.061,-0.061
42914,0.039,0.055,1.007,0.549,0.000,-0.122
42939,0.037,0.052,1.006,0.427,0.000,0.000
42964,0.038,0.053,1.007,0.427,0.061,0.000
42989,0.037,0.054,1.004,0.427,-0.061,-0.061
43019,0.036,0.053,1.007,0.488,0.000,0.000
43071,0.038,0.054,1.005,0.488,0.061,-0.122
43096,0.039,0.052,1.006,0.427,0.000,-0.061
43125,0.038,0.054,1.005,0.488,0.061,-0.061
43151,0.038,0.053,1.007,0.427,0.000,-0.122
43176,0.038,0.053,1.006,0.305,0.061,-0.061
43203,0.038,0.055,1.006,0.488,0.000,-0.061
43228,0.037,0.055,1.007,0.427,0.000,-0.061
43257,0.037,0.054,1.007,0.549,-0.061,-0.061
43284,0.038,0.054,1.005,0.549,0.061,-0.061
43311,0.038,0.053,1.006,0.549,0.061,-0.122
43339,0.038,0.052,1.006,0.427,-0.061,-0.061
43367,0.038,0.054,1.007,0.366,0.061,-0.122
43420,0.035,0.054,1.006,0.488,0.000,-0.122
43448,0.036,0.052,1.007,0.427,0.000,0.000
43476,0.037,0.053,1.005,0.427,0.000,-0.122
43505,0.039,0.054,1.006,0.366,0.000,-0.122
43532,0.040,0.054,1.007,0.427,0.000,-0.061
43560,0.037,0.052,1.006,0.488,0.000,-0.122
43587,0.038,0.054,1.006,0.427,0.000,-0.122
43615,0.038,0.054,1.006,0.488,-0.061,-0.061
43642,0.038,0.053,1.006,0.427,0.061,-0.061
43669,0.038,0.055,1.006,0.427,0.061,-0.183
43697,0.038,0.052,1.006,0.549,0.061,0.000
43794,0.038,0.054,1.008,0.488,0.061,-0.061
43875,0.039,0.053,1.006,0.427,-0.061,0.000
43901,0.037,0.053,1.006,0.366,0.061,-0.122
43927,0.037,0.054,1.007,0.549,0.061,-0.061
43955,0.037,0.054,1.006,0.488,0.061,-0.061
43983,0.038,0.054,1.007,0.488,0.000,0.000
44010,0.037,0.053,1.007,0.488,0.000,0.000
44035,0.039,0.053,1.007,0.488,0.061,-0.122
44063,0.040,0.053,1.006,0.427,0.000,-0.061
44090,0.038,0.054,1.006,0.427,0.000,-0.122
44118,0.037,0.053,1.007,0.488,0.061,-0.122
44144,0.037,0.054,1.006,0.427,0.061,-0.061
44170,0.038,0.054,1.006,0.427,0.061,-0.061
44221,0.040,0.053,1.007,0.488,0.061,-0.061
