---,ollie,73791
ts,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
84051,0.041,-0.012,-0.993,0.244,7.202,-0.183
84101,0.039,-0.005,-0.995,0.549,0.122,0.000
84129,0.038,0.011,-0.992,0.671,-3.174,0.122
84156,0.042,0.009,-0.996,0.732,-5.310,0.000
84183,0.043,0.008,-0.997,0.610,-3.601,-0.061
84210,0.044,0.006,-0.996,0.610,-3.479,-0.061
84237,0.048,-0.008,-0.993,0.732,-5.371,-0.061
84266,0.052,-0.010,-0.999,0.610,-3.235,-0.122
84296,0.050,0.002,-0.997,0.488,-0.061,-0.061
84326,0.052,-0.003,-0.993,0.549,-1.465,-0.061
84357,0.053,-0.004,-0.995,0.610,-3.540,-0.122
84387,0.055,0.005,-0.994,0.610,-4.578,-0.061
84442,0.064,0.009,-0.996,0.854,-11.230,0.000
84470,0.067,0.011,-0.999,0.671,-6.836,-0.183
84500,0.068,0.007,-0.995,0.488,-3.967,-0.061
84529,0.072,-0.013,-0.993,0.671,-6.470,-0.061
84558,0.076,-0.012,-0.993,0.610,-7.385,-0.183
84587,0.080,-0.004,-0.995,0.732,-5.554,-0.244
84616,0.082,-0.003,-0.995,0.610,-3.052,-0.122
84645,0.082,-0.007,-0.996,0.488,0.854,-0.183
84674,0.081,-0.004,-0.995,0.244,3.784,-0.122
84703,0.081,-0.010,-0.994,0.244,7.324,-0.183
84732,0.075,-0.005,-0.995,0.244,8.606,-0.122
84760,0.070,0.012,-0.991,0.305,4.333,0.061
84812,0.071,0.014,-0.993,0.671,-5.493,0.061
84842,0.075,0.011,-0.996,0.732,-5.005,-0.183
84871,0.076,-0.002,-0.996,0.549,-2.136,-0.183
84900,0.078,-0.018,-0.995,0.488,0.183,-0.122
84928,0.077,-0.009,-0.994,0.305,1.404,0.122
84956,0.077,0.009,-0.992,0.488,-0.122,0.122
84985,0.078,-0.000,-0.994,0.610,-2.075,-0.061
85013,0.078,0.003,-0.995,0.549,-1.099,-0.183
85041,0.078,-0.008,-0.995,0.427,1.709,-0.244
85069,0.076,-0.008,-0.996,0.305,4.883,-0.183
85098,0.074,-0.006,-0.995,0.244,6.287,-0.061
85149,0.067,0.005,-0.994,0.244,6.348,-0.061
85178,0.065,0.000,-0.992,0.366,4.395,-0.061
85207,0.064,0.007,-0.994,0.549,1.221,0.000
85235,0.062,0.007,-0.994,0.610,-0.916,-0.122
85338,0.063,-0.008,-0.995,0.366,0.916,-0.244
85388,0.062,0.001,-0.996,0.488,1.648,-0.061
85418,0.061,0.004,-0.995,0.427,2.380,-0.061
85446,0.059,-0.001,-0.995,0.427,2.258,-0.122
85475,0.059,-0.007,-0.998,0.427,2.747,-0.122
85503,0.057,-0.004,-0.995,0.366,3.418,-0.122
85530,0.055,-0.002,-0.996,0.427,3.418,-0.061
85557,0.053,0.001,-0.998,0.366,4.333,-0.122
85613,0.047,-0.006,-0.995,0.244,7.324,-0.183
85643,0.042,-0.005,-0.994,0.366,4.517,0.000
85673,0.042,0.004,-0.996,0.549,2.380,0.000
85703,0.041,0.007,-0.996,0.549,1.465,0.000
85730,0.039,0.004,-0.997,0.549,0.793,-0.061
85759,0.040,-0.003,-0.998,0.366,3.174,-0.122
85788,0.037,-0.009,-0.997,0.183,5.920,-0.183
85813,0.033,-0.020,-0.997,0.244,6.958,-0.122
result,landed
---,fs_180,106496
ts,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
106523,0.107,-0.106,-0.998,0.610,-0.610,-0.366
106553,0.101,-0.006,-0.994,0.671,2.502,-0.061
106606,0.097,-0.008,-0.991,0.122,6.531,-0.183
106635,0.094,-0.015,-0.994,0.244,8.972,-0.122
106670,0.090,-0.025,-0.995,0.061,11.902,0.000
106698,0.082,0.007,-0.993,0.183,12.207,0.122
106726,0.078,0.012,-0.991,0.244,9.338,0.183
106750,0.074,0.015,-0.994,0.244,7.019,0.122
106779,0.071,-0.002,-0.994,0.305,6.165,-0.122
106814,0.068,0.005,-0.992,0.427,3.601,0.061
106837,0.066,0.016,-0.994,0.488,0.488,0.061
106867,0.067,0.004,-0.993,0.671,-2.258,0.000
106896,0.069,-0.003,-0.996,0.732,-2.686,-0.061
106950,0.069,-0.011,-0.993,0.427,-0.183,-0.122
106975,0.069,-0.015,-0.996,0.916,2.380,0.000
107004,0.071,-0.014,-0.995,0.610,3.845,0.122
107034,0.065,0.005,-0.991,0.732,2.319,0.000
107062,0.065,-0.016,-0.996,1.099,1.953,-0.122
107091,0.064,-0.017,-0.995,1.404,1.953,-0.061
107121,0.066,-0.020,-0.996,1.343,-1.282,0.183
107149,0.069,-0.057,-0.997,0.854,-4.028,0.000
107176,0.072,-0.102,-0.994,0.427,-6.836,0.732
107205,0.081,-0.179,-0.982,1.648,-8.301,1.709
107235,0.093,-0.201,-0.993,0.427,-1.526,3.113
107291,0.050,0.332,-1.028,-3.174,10.986,1.526
107320,0.048,0.331,-1.034,-3.662,63.293,-0.854
